company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""adobe""",945444716,2020-04-13 22:59:25+00:00, ,1249834607828033536,en,0,0,0,0,Twitter Web App,"@MishManners @Adobe @creativecloud @MCEC @jamesmurphy4288 @ZenHubHQ @ZenHubIO @GitHubAdacats @github @giantdeckchair Hey Michelle, hope you're keeping safe and well. Seeing as you enjoyed Pause, you might enjoy the Future Squared OnCON - an online conference dedicated to helping us better navigate the uncertainty we find ourselves in &amp; fundraising for COVID19 relief.  https://t.co/KLenrI0y0F"
"""adobe""",1322315899,2020-04-12 05:43:14+00:00, ,1249211453615288323,en,1,0,0,0,Twitter Web App,i know i'm supposed to save the covid relief money or wtv but i'm so tempted to use it to get a new laptop what the fuck.......... it crashed three times today bc i had adobe stuff open u can't KEEP DOING THIS TO ME I HAVE ASSIGNMENTS TO FINISH
"""adobe""",868875880059330562,2020-04-11 01:02:53+00:00, ,1248778512955330563,en,7,1,0,2,Twitter for iPhone,"#Houston, many have reached out to me about relief for small businesses. To help you with the #SBAloans process, my team and I have created this guide. #COVID19 #SmallBusiness #SmallBiz #SmallBizRelief 

View / download here:SMALL BUSINESS GUIDE https://t.co/MIcsYCvZiU https://t.co/xv1b1pmaHD"
"""adobe""",897477962,2020-04-10 16:35:47+00:00, ,1248650899242827777,en,1,0,0,1,LaterMedia,Hit a financial bump in the road because of the COVID-19 disruption? We provide support to people who work in the furnishing industry in times of need and we may be able to provide some assistance to you.  https://t.co/PgxVip9fkb https://t.co/WcIUawn105
"""adobe""",1240665291333480448,2020-04-09 18:31:41+00:00, ,1248317677107585025,en,1,0,0,2,Twitter Web App,"This video will help elementary school students cope with some of their thoughts and emotions during COVID-19.

Learn about Smart Careers at https://t.co/HRh5DjmiR8

Parent Worksheet Here ----&gt; https://t.co/a1NBllepNB

Video ----&gt; https://t.co/25xRx42igl"
"""adobe""",120986679,2020-04-09 17:04:45+00:00, ,1248295801182396419,en,2,0,2,0,Twitter for Android,"Hey, all my designer friends know about the Adobe COVID-19 relief, right? @TheZidar @CHRlSBLAlN @KevinDGlenn @rave_agency"
"""adobe""",30005087,2020-04-08 23:32:15+00:00, ,1248030930368958466,en,9,0,1,5,Twitter Web App,"For any who are using #Adobe #CreativeCloud for your work or small business, they are offering three free months if you log in and talk to the virtual assistant via their chat system and mention 'coronovirus' and/or 'Covid Relief'.  Super helpful! #virus #audio #software #gamedev https://t.co/ywrAYRhbP1"
"""adobe""",1110373674,2020-04-07 20:37:55+00:00, ,1247624671098540034,en,0,0,0,0,Twitter Web App,"Fellow artists! I wanted to share a couple of resources that I've found helpful today. First, the Artist Relief Project - https://t.co/AgRTp4ZQyn which I found on this list of grants &amp; resources on the Adobe Blog - https://t.co/JZ4casiREv #WereInThisTogether ❤️"
"""adobe""",908223239964512256,2020-04-07 19:09:26+00:00, ,1247602399440777216,en,0,0,0,0,Twitter Web App,"Donate American style icon 

#donate #Donations #help #aid #USA #America #American #virus #pandemia #pandemic #COVID #COVIDー19 

https://t.co/eDVBcUmn9W https://t.co/DwKf497XSd"
"""adobe""",854414071189434368,2020-04-06 21:00:13+00:00, ,1247267891935838213,en,0,0,0,0,Hootsuite Inc.,"Join Holland &amp; Knight 4/7 at 12PM ET for a live webinar titled ""CARES ACT - Funding, Relief, Changes for Hospitals &amp; Providers."" Learn more about the CARES-ACT and the opportunities that it is providing for the health industry during #COVID19 https://t.co/Mz3z4JqjkD #BioFabUSA"
